"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7791","Registro con email ya registrado","Registro y login de usuarios","Mon Jul 21 03:52:27 UTC 2025","passed","Mon Jul 21 03:52:34 UTC 2025","","","",""
"","7252","Registro con dni ya registrado","Registro y login de usuarios","Mon Jul 21 03:52:41 UTC 2025","passed","Mon Jul 21 03:52:49 UTC 2025","","","",""
"","7375","Registro exitoso con datos válidos","Registro y login de usuarios","Mon Jul 21 03:52:12 UTC 2025","passed","Mon Jul 21 03:52:19 UTC 2025","","","",""
"","7255","Registro con nombre que contiene tildes y caracteres especiales permitidos","Registro y login de usuarios","Mon Jul 21 03:52:19 UTC 2025","passed","Mon Jul 21 03:52:26 UTC 2025","","","",""
"","4778","Login con credenciales inválidas","Registro y login de usuarios","Mon Jul 21 03:51:40 UTC 2025","passed","Mon Jul 21 03:51:45 UTC 2025","","","",""
"","13264","Enviar solicitud de recuperación con email registrado y verificar correo","Registro y login de usuarios","Mon Jul 21 03:51:58 UTC 2025","passed","Mon Jul 21 03:52:12 UTC 2025","","","",""
"","6335","Enviar solicitud de recuperación con email registrado","Registro y login de usuarios","Mon Jul 21 03:51:52 UTC 2025","passed","Mon Jul 21 03:51:58 UTC 2025","","","",""
"","3057","Login con credenciales válidas con ""Enter"" desde el teclado","Registro y login de usuarios","Mon Jul 21 03:51:49 UTC 2025","passed","Mon Jul 21 03:51:52 UTC 2025","","","",""
"","7022","Registro con contraseñas que no coinciden","Registro y login de usuarios","Mon Jul 21 03:52:34 UTC 2025","passed","Mon Jul 21 03:52:41 UTC 2025","","","",""
"","2752","Login con credenciales válidas","Registro y login de usuarios","Mon Jul 21 03:51:45 UTC 2025","passed","Mon Jul 21 03:51:48 UTC 2025","","","",""
